id,keyword,location,text,target,incident_label
71,assault,at the alley,People are calling police after a assault at the alley. Please respond immediately.,1,crime
63,assault,near the campus gate,Witnesses saw a assault incident near the campus gate. This was just reported by residents.,1,crime
100,rising water,at the underpass,Vehicles cannot pass because of rising water at the underpass. The situation may get worse.,1,flood
74,suspicious armed person,outside the pharmacy,A possible suspicious armed person case was reported outside the pharmacy. Please respond immediately.,1,crime
60,unconscious patient,near the basketball court,Immediate medical response is needed for a unconscious patient near the basketball court. The situation may get worse.,1,medical
42,difficulty breathing,inside the dormitory,Bystanders say a difficulty breathing needs assistance inside the dormitory. The situation may get worse.,1,medical
11,explosion,beside the gas station,Something is burning beside the gas station and there are strong explosion. Please respond immediately.,1,fire
77,assault,outside the dormitory,Witnesses saw a assault incident outside the dormitory.,1,crime
96,flash flood,along the main road,Strong rain led to flash flood along the main road.,1,flood
29,road accident,beside the mall,Traffic stopped after a road accident beside the mall. The situation may get worse.,1,accident
81,overflowing creek,around the school grounds,People are stranded due to overflowing creek around the school grounds. This was just reported by residents.,1,flood
30,car crash,at the intersection,Witnesses saw a car crash at the intersection with injured passengers. Please respond immediately.,1,accident
32,car crash,along the national road,An emergency report says car crash along the national road. The situation may get worse.,1,accident
17,burning,inside the school canteen,A small burning started inside the school canteen and is getting bigger. Please respond immediately.,1,fire
82,flash flood,in the market street,Vehicles cannot pass because of flash flood in the market street. This was just reported by residents.,1,flood
2,fire,in the old building,People are evacuating because of fire in the old building. Several people are nearby.,1,fire
85,rising water,along the main road,Vehicles cannot pass because of rising water along the main road. The situation may get worse.,1,flood
78,stabbing,outside the dormitory,Someone needs help because of a stabbing outside the dormitory. This was just reported by residents.,1,crime
88,flash flood,near the river,Emergency teams are needed for flash flood near the river.,1,flood
4,fire,in the apartment,The room is filling with fire in the apartment. The situation may get worse.,1,fire
36,road accident,along the national road,A serious road accident was reported along the national road. Please respond immediately.,1,accident
91,flooding,near the river,The area is unsafe because of flooding near the river. Several people are nearby.,1,flood
10,flames,at the warehouse,Something is burning at the warehouse and there are strong flames.,1,fire
47,seizure,in the library,Someone is having seizure in the library. Several people are nearby.,1,medical
5,fire,inside the school canteen,People are evacuating because of fire inside the school canteen. This was just reported by residents.,1,fire
39,motorcycle accident,near the wet market,A delivery truck caused a motorcycle accident near the wet market. This was just reported by residents.,1,accident
90,flooding,in the market street,The area is unsafe because of flooding in the market street. This was just reported by residents.,1,flood
35,motorcycle accident,at the intersection,Two vehicles were involved in a motorcycle accident at the intersection.,1,accident
65,robbery,outside the dormitory,People are calling police after a robbery outside the dormitory. Please respond immediately.,1,crime
62,stabbing,near the ATM,A stabbing was reported near the ATM. Several people are nearby.,1,crime
54,difficulty breathing,at the clinic entrance,"Please send responders, there is a difficulty breathing at the clinic entrance.",1,medical
80,suspicious armed person,at the alley,There is an ongoing suspicious armed person at the alley.,1,crime
25,motorcycle accident,near the overpass,Traffic stopped after a motorcycle accident near the overpass. Several people are nearby.,1,accident
57,person fainted,in the office,"Please send responders, there is a person fainted in the office. Several people are nearby.",1,medical
70,assault,in Barangay Centro,People are calling police after a assault in Barangay Centro. The situation may get worse.,1,crime
64,stabbing,outside the pharmacy,A possible stabbing case was reported outside the pharmacy. Several people are nearby.,1,crime
83,rising water,in the market street,Emergency teams are needed for rising water in the market street.,1,flood
61,theft,outside the dormitory,Police assistance is needed after a theft outside the dormitory. The situation may get worse.,1,crime
20,explosion,in the apartment,People are evacuating because of explosion in the apartment. This was just reported by residents.,1,fire
7,smoke,at the factory gate,There is a smoke reported at the factory gate. This was just reported by residents.,1,fire
56,unconscious patient,in the classroom,"Please send responders, there is a unconscious patient in the classroom. Several people are nearby.",1,medical
76,robbery,behind the convenience store,Police assistance is needed after a robbery behind the convenience store. Please respond immediately.,1,crime
1,burning,at the warehouse,The room is filling with burning at the warehouse.,1,fire
45,seizure,inside the mall,There is a possible emergency with a seizure inside the mall. This was just reported by residents.,1,medical
8,explosion,at the bus terminal,There is a explosion reported at the bus terminal. Please respond immediately.,1,fire
49,unconscious patient,inside the dormitory,Students are asking help because of a unconscious patient inside the dormitory. Several people are nearby.,1,medical
99,overflowing creek,near the river,Vehicles cannot pass because of overflowing creek near the river. Several people are nearby.,1,flood
40,vehicle overturn,outside the campus gate,Two vehicles were involved in a vehicle overturn outside the campus gate. This was just reported by residents.,1,accident
9,fire,in the old building,A small fire started in the old building and is getting bigger. Several people are nearby.,1,fire
43,person fainted,near the plaza,Bystanders say a person fainted needs assistance near the plaza.,1,medical
73,suspicious armed person,outside the pharmacy,There is an ongoing suspicious armed person outside the pharmacy. This was just reported by residents.,1,crime
95,waist-deep water,at the underpass,Emergency teams are needed for waist-deep water at the underpass. Please respond immediately.,1,flood
15,flames,in the old building,The room is filling with flames in the old building. Several people are nearby.,1,fire
58,seizure,at the waiting shed,Immediate medical response is needed for a seizure at the waiting shed. This was just reported by residents.,1,medical
93,rising water,at the underpass,The area is unsafe because of rising water at the underpass. This was just reported by residents.,1,flood
24,collision,beside the mall,An emergency report says collision beside the mall. This was just reported by residents.,1,accident
84,flash flood,along the main road,People are stranded due to flash flood along the main road.,1,flood
68,assault,in Barangay Centro,People are calling police after a assault in Barangay Centro.,1,crime
26,motorcycle accident,near the overpass,A motorcycle accident happened near the overpass. Several people are nearby.,1,accident
69,assault,outside the dormitory,Security alert: assault outside the dormitory. Please respond immediately.,1,crime
48,unconscious patient,in the classroom,Someone is having unconscious patient in the classroom. Please respond immediately.,1,medical
